,name,url,description,addressCountry,postalCode,addressRegion,streetAddress,addressLocality,rating,image,priceRange,hasMap
579,WelcomHeritage Haveli Dharampura,https://www.booking.com/hotel/in/haveli-dharampura.html,"Set in the heart of Delhi, WelcomHeritage Haveli Dharampura, awarded UNESCO award for cultural and heritage restoration, is nestled among the narrow alleys...",India,110006,Delhi NCR,"2293, Gali Guliyan, Near Gate No. 3, Jama Masjid, Dharampura Chandni Chowk, 110006 New Delhi, India","2293, Gali Guliyan, Near Gate No. 3, Jama Masjid, Dharampura Chandni Chowk",8.5,https://r-cf.bstatic.com/images/hotel/max500/679/67904747.jpg,Prices for upcoming dates start at $163 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?sensor=false&size=1600x1200&markers=color:blue%7c28.6533723,77.2321889&center=28.6533723,77.2321889&zoom=15&client=gme-booking&channel=booking-frontend&signature=YPXq-U4DkZFFR4kceLzK3Bo2f98="
580,Raj`s Cozy Inn,https://www.booking.com/hotel/in/raj-s-cozy-inn.html,"Conveniently set in the Paharganj district of New Delhi, Raj`s Cozy Inn is located 1.2 miles from Gurudwara Bangla Sahib, 1.",India,110006,Delhi NCR,"920 Chandi Wali Gali, Mantola, Main Bazar Paharganj, Paharganj, 110006 New Delhi, India","920 Chandi Wali Gali, Mantola, Main Bazar Paharganj",6.1,https://r-cf.bstatic.com/images/hotel/max500/938/93866683.jpg,Prices for upcoming dates start at $10 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?markers=color:blue%7c28.6416749,77.2147398&sensor=false&zoom=15&center=28.6416749,77.2147398&size=1600x1200&client=gme-booking&channel=booking-frontend&signature=Fc9JEzi9vwKfzxYBb03HdLKWPbI="
581,"Armān, the green b&b",https://www.booking.com/hotel/in/arman-the-green-b-amp-b.html,"Located 2.7 miles from Lotus Temple in New Delhi, Armān, the green b&b provides accommodations with air conditioning and free WiFi.",India,110017,Delhi NCR,"C-91 Panchsheel Enclave, 110017 New Delhi, India",C-91 Panchsheel Enclave,9.7,https://r-cf.bstatic.com/images/hotel/max500/167/167195576.jpg,Prices for upcoming dates start at $65 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?size=1600x1200&sensor=false&zoom=15&center=28.5448200,77.2283010&markers=color:blue%7c28.5448200,77.2283010&client=gme-booking&channel=booking-frontend&signature=4IkzxVzWvSaYjjvWQRQ_SR-nHKw="
582,Hotel Aero @ Airport,https://www.booking.com/hotel/in/aero-airport.html,"Located in New Delhi, 6 miles from Qutub Minar, Hotel Aero @ Airport provides accommodations with free WiFi and free private parking.",India,110037,Delhi NCR,"Mata Chowk Mahipalpur, Mahipalpur, 110037 New Delhi, India",Mata Chowk Mahipalpur,5.1,https://r-cf.bstatic.com/images/hotel/max500/134/134781679.jpg,Prices for upcoming dates start at $11 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?markers=color:blue%7c28.5421190,77.1292430&center=28.5421190,77.1292430&size=1600x1200&sensor=false&zoom=15&client=gme-booking&channel=booking-frontend&signature=dk9U-8_erJBf5fg69dETm6E3O3Q="
583,SPOT ON 63653 Hotel Sefali Dx,https://www.booking.com/hotel/in/spot-on-63653-sefali-dx.html,"Ideally located in the Paharganj district of New Delhi, SPOT ON 63653 Hotel Sefali Dx is located 1.4 miles from Gurudwara Bangla Sahib, 1.",India,110055,Delhi NCR,"2993/2 , chuna mandi , street no. 2 paharganj, Delhi, Paharganj, 110055 New Delhi, India","2993/2 , chuna mandi , street no. 2 paharganj, Delhi",,https://r-cf.bstatic.com/images/hotel/max500/226/226015337.jpg,Prices for upcoming dates start at $5 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?size=1600x1200&center=28.6448480,77.2113650&zoom=15&markers=color:blue%7c28.6448480,77.2113650&sensor=false&client=gme-booking&channel=booking-frontend&signature=vGqmi0332HAbiB2T5nYr3j0rLW4="
584,OYO 14388 UK Residency,https://www.booking.com/hotel/in/oyo-14388-uk-residency-delhi12.html,"Located in New Delhi, OYO 14388 UK Residency has air-conditioned rooms with free WiFi.",India,110064,Delhi NCR,"C-75, C- Opposite, 75, Gurudwara Rd, C block, Nanak Pura, Hari Nagar, 110064 New Delhi, India","C-75, C- Opposite, 75, Gurudwara Rd, C block, Nanak Pura, Hari Nagar",6.0,https://r-cf.bstatic.com/images/hotel/max500/145/145150470.jpg,Prices for upcoming dates start at $9 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?zoom=15&markers=color:blue%7c28.6258780,77.1131150&size=1600x1200&sensor=false&center=28.6258780,77.1131150&client=gme-booking&channel=booking-frontend&signature=wDfuMzyF8zF6DDwODQlAK75eNiw="
585,Hotel The Luxury,https://www.booking.com/hotel/in/the-luxury.html,"Located in New Delhi, 6 miles from Qutub Minar, Hotel The Luxury features views of the city. This 3-star hotel offers an ATM and a tour desk.",India,110037,Delhi NCR,"Kh. No 552, Main Vasant Kunj Road Near Mata Chowk,Mahipalpur, Mahipalpur, 110037 New Delhi, India","Kh. No 552, Main Vasant Kunj Road Near Mata Chowk,Mahipalpur",,https://r-cf.bstatic.com/images/hotel/max500/235/235380941.jpg,Prices for upcoming dates start at $15 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?center=28.5423810,77.1296050&zoom=15&markers=color:blue%7c28.5423810,77.1296050&size=1600x1200&sensor=false&client=gme-booking&channel=booking-frontend&signature=Ifsuf6x6-Fzkovrm8vozk3wO_uM="
586,Hotel Kian,https://www.booking.com/hotel/in/kian-delhi.html,"Featuring a bar, Hotel Kian is located in New Delhi in the Delhi NCR region, 6 miles from Qutub Minar and 8 miles from Gandhi Smriti.",India,110037,Delhi NCR,"L-316 & 317 Street No 7, Mahipalpur Extn, Mahipalpur, 110037 New Delhi, India","L-316 & 317 Street No 7, Mahipalpur Extn",7.6,https://r-cf.bstatic.com/images/hotel/max500/201/201066954.jpg,Prices for upcoming dates start at $30 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?size=1600x1200&markers=color:blue%7c28.5440250,77.1238580&zoom=15&center=28.5440250,77.1238580&sensor=false&client=gme-booking&channel=booking-frontend&signature=GVzofWH_9SesAnT52pWWhq_nWhs="
587,OYO 2791 Hotel Arina Inn,https://www.booking.com/hotel/in/arina-inn.html,"Located just 300-yards away from attractions such as Red Fort and Jama Masjid, Hotel Arina Inn offers complimentary Wi-Fi access and private parking.",India,110002,Delhi NCR,"38 Netaji Subhash Marg Darya Ganj Main Road near Police station New Delhi 110002., Dariyaganj, 110002 New Delhi, India",38 Netaji Subhash Marg Darya Ganj Main Road near Police station New Delhi 110002.,6.8,https://r-cf.bstatic.com/images/hotel/max500/131/131439558.jpg,Prices for upcoming dates start at $19 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?size=1600x1200&center=28.6424398,77.2407123&sensor=false&markers=color:blue%7c28.6424398,77.2407123&zoom=15&client=gme-booking&channel=booking-frontend&signature=sAYQ1Mq2TRhGvotH4PevgthObC8="
588,Hotel Roma Villa,https://www.booking.com/hotel/in/roma-villa.html,"1.8 miles from Jama Masjid, Hotel Roma Villa is located in New Delhi and has free WiFi, a tour desk and a ticket service. The property is around 1.",India,110055,Delhi NCR,"Kaseruwalan  Gali Hari Mandir Marg Paharganj New Delhi 110055, Paharganj, 110055 New Delhi, India",Kaseruwalan  Gali Hari Mandir Marg Paharganj New Delhi 110055,7.3,https://r-cf.bstatic.com/images/hotel/max500/215/215802519.jpg,Prices for upcoming dates start at $13 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?sensor=false&markers=color:blue%7c28.6433626,77.2142669&size=1600x1200&center=28.6433626,77.2142669&zoom=15&client=gme-booking&channel=booking-frontend&signature=jrJyA7rrc8EkRqLrtJTrfVHR37c="
589,Colonel's Retreat 2,https://www.booking.com/hotel/in/colonel-39-s-retreat-2.html,"Located 2.5 miles from Lodhi Gardens, Colonel's Retreat 2 offers a shared lounge, a terrace and air-conditioned accommodations with a balcony and free...",India,110024,Delhi NCR,"D 264  defence colony new delhi, 110024 New Delhi, India",D 264  defence colony new delhi,8.5,https://r-cf.bstatic.com/images/hotel/max500/163/163140039.jpg,Prices for upcoming dates start at $68 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?markers=color:blue%7c28.5753630,77.2296060&size=1600x1200&zoom=15&sensor=false&center=28.5753630,77.2296060&client=gme-booking&channel=booking-frontend&signature=qk12Z16N3nda968MtYK-ye95myI="
590,Roma Deluxe,https://www.booking.com/hotel/in/roma-deluxe.html,"Offering a restaurant, Roma Deluxe is located in New Delhi, just 500-yards from New Delhi Railway Station. Wi-Fi access is available.",India,110055,Delhi NCR,"8165, Arakashan Road, Ram Nagar, Pahar Ganj, Paharganj, 110055 New Delhi, India","8165, Arakashan Road, Ram Nagar, Pahar Ganj",4.6,https://r-cf.bstatic.com/images/hotel/max500/301/30171245.jpg,Prices for upcoming dates start at $14 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?zoom=15&sensor=false&markers=color:blue%7c28.6459012,77.2159910&size=1600x1200&center=28.6459012,77.2159910&client=gme-booking&channel=booking-frontend&signature=4kBrlowHPU27ZuGgEtI-sx_y_zY="
591,OYO 37262 Akash Guest House,https://www.booking.com/hotel/in/oyo-37262-akash-guest-house.html,"Ideally set in the East Delhi district of New Delhi, OYO 37262 Akash Guest House is located 5 miles from Swaminarayan Akshardham, 5 miles from Raj Ghat and...",India,110091,Delhi NCR,"A11 (Old No 17)Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi, 110091 New Delhi, India","A11 (Old No 17)Chaudhary Charan Singh Marg, Ghazipur Village, Gazipur, Delhi",,https://r-cf.bstatic.com/images/hotel/max500/202/202334142.jpg,Prices for upcoming dates start at $11 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?sensor=false&center=28.6340960,77.3154700&markers=color:blue%7c28.6340960,77.3154700&zoom=15&size=1600x1200&client=gme-booking&channel=booking-frontend&signature=zSKXELo2BTzyflw6LqQC4z4J7Nc="
592,OYO 8933 Hotel CG International,https://www.booking.com/hotel/in/oyo-rooms-paharganj-railway-station.html,"OYO Rooms Paharganj Railway Station is located in New Delhi, 0.9 miles from Jantar Mantar and 1.6 miles from Feroz Shah Kotla Cricket Stadium.",India,110055,Delhi NCR,"Plot No. 5568, Shora Kothi,Pahar Ganj, Near New Delhi Railway Station, Paharganj, 110055 New Delhi, India","Plot No. 5568, Shora Kothi,Pahar Ganj, Near New Delhi Railway Station",5.7,https://r-cf.bstatic.com/images/hotel/max500/166/166012429.jpg,Prices for upcoming dates start at $17 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?sensor=false&size=1600x1200&center=28.6405000,77.2164000&markers=color:blue%7c28.6405000,77.2164000&zoom=15&client=gme-booking&channel=booking-frontend&signature=hKYsBKQhAxquFHvcePkE_Yj-uQc="
593,Hotel Sita International,https://www.booking.com/hotel/in/sita-international.html,"Hotel Sita is located in Paharganj, 0.7 mi from Connaught Place commercial district. It features rooms with free Wi-Fi and city views.",India,110055,Delhi NCR,"3/10, Desh Bandu Gupta Road, Pahar Ganj, Paharganj, 110055 New Delhi, India","3/10, Desh Bandu Gupta Road, Pahar Ganj",6.7,https://r-cf.bstatic.com/images/hotel/max500/482/4827977.jpg,Prices for upcoming dates start at $22 per night (We Price Match),"https://maps.googleapis.com/maps/api/staticmap?center=28.6447855,77.2137246&sensor=false&size=1600x1200&markers=color:blue%7c28.6447855,77.2137246&zoom=15&client=gme-booking&channel=booking-frontend&signature=VObQOD0KvCp_SmcJnnHIYI7gR10="
